id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pengeluaran_per_kapita,satuan,tahun
251,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10406.0,RIBU RUPIAH,2019
252,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,10090.0,RIBU RUPIAH,2019
253,32,JAWA BARAT,3213,KABUPATEN SUBANG,11012.0,RIBU RUPIAH,2019
254,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11819.0,RIBU RUPIAH,2019
255,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11856.0,RIBU RUPIAH,2019
256,32,JAWA BARAT,3216,KABUPATEN BEKASI,11610.0,RIBU RUPIAH,2019
257,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8684.0,RIBU RUPIAH,2019
258,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,9423.0,RIBU RUPIAH,2019
259,32,JAWA BARAT,3271,KOTA BOGOR,11825.0,RIBU RUPIAH,2019
260,32,JAWA BARAT,3272,KOTA SUKABUMI,11204.0,RIBU RUPIAH,2019
261,32,JAWA BARAT,3273,KOTA BANDUNG,17254.0,RIBU RUPIAH,2019
262,32,JAWA BARAT,3274,KOTA CIREBON,11930.0,RIBU RUPIAH,2019
263,32,JAWA BARAT,3275,KOTA BEKASI,16157.0,RIBU RUPIAH,2019
264,32,JAWA BARAT,3276,KOTA DEPOK,15696.0,RIBU RUPIAH,2019
265,32,JAWA BARAT,3277,KOTA CIMAHI,12448.0,RIBU RUPIAH,2019
266,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10414.0,RIBU RUPIAH,2019
267,32,JAWA BARAT,3279,KOTA BANJAR,10705.0,RIBU RUPIAH,2019
268,32,JAWA BARAT,3201,KABUPATEN BOGOR,10317.0,RIBU RUPIAH,2020
269,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8823.0,RIBU RUPIAH,2020
270,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7980.0,RIBU RUPIAH,2020
271,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10201.0,RIBU RUPIAH,2020
272,32,JAWA BARAT,3205,KABUPATEN GARUT,7876.0,RIBU RUPIAH,2020
